"Species,""Regularization"",""Features"",""nParameters"",""AICc"",""Training.AUC"",""Test.AUC"",""bio13.contribution"",""bio14.contribution"",""bio5.contribution"",""bio6.contribution"",""bio7.contribution"",""topology.contribution"""
"Lithostege_buxtoni,0.8,""autofeature=true"",3,130.285675075971,0.7868,0.7374,16.6144,5.7271,1.0681,19.3051,47.2575,10.0278"
"Lithostege_palaestinensis,1.5,"" -h"",3,209.09006883748,0.88785,0.8103,3.7929,0.5345,14.8884,64.5206,11.4036,4.86"
"Lulavia_multipunctata,1.1,""autofeature=true"",2,148.929918041126,0.7483,0.81865,6.8693,1.1676,0,30.6744,23.4581,37.8306"
"Microloxia_herbaria,1.2,"" -h"",4.5,279.606173565264,0.8149,0.81685,8.5676,15.8268,0.5236,1.8158,58.0842,15.182"
"Nebula_reclamata,1,""autofeature=true"",2,105.40226493067,0.85725,0.891,67.1163,18.9506,5.8019,5.3172,2.5025,0.3114"
"Neognopharmia_stevenaria,1.2,""autofeature=true"",5,172.66155984133,0.92165,0.95135,23.2319,3.45,0.0183,6.7364,41.3679,25.1955"
"Neromia_pulvereisparsa,1,""autofeature=true"",4,201.702412600707,0.76725,0.7453,11.883,9.1817,11.1724,0.1307,53.7779,13.8543"
"Neromia_simplexa,1.2,""autofeature=true"",2,150.599114045127,0.70805,0.8987,1.7266,8.0517,4.8605,45.5979,8.0569,31.7064"
"Nychiodes_admirabila,1.2,""autofeature=true"",2,77.0205052592382,0.7608,0.89875,0,25.8965,4.9464,0,0.5464,48.6107"
"Nychiodes_divergaria,0.7,"" -p -h"",8,1319.53841169373,0.78835,0.7347,61.5416,14.4437,2.0303,2.4991,12.2262,7.259"
"Nychiodes_leviata,1.1,""autofeature=true"",2,151.235943184809,0.7777,0.8176,7.6339,8.3473,16.3355,0.7588,19.9369,46.9876"
"Nychiodes_subvirida,1.1,"" -h -q"",4,497.9888922053,0.7458,0.7207,18.7084,14.8347,14.6076,1.6022,8.3663,41.8808"
"Opisthograptis_luteolata,1.4,""autofeature=true"",2,144.305323183,0.7845,0.73305,0,3.8301,0,68.9347,17.0962,10.139"
"Orthonama_obstipata,0.8,"" -h"",6,508.833853137152,0.72255,0.71115,16.5817,9.17,0.0844,63.4942,6.964,3.7057"
"Orthostixis_cribraria,1,""autofeature=true"",2,115.769998195808,0.7411,0.70465,0,31.6113,1.5583,54.0159,12.0925,0.722"
"Oulobophora_externaria,1.4,""autofeature=true"",4,223.507493185858,0.72875,0.7801,2.1141,9.8933,2.2689,46.0873,20.1499,19.4865"
"Ourapteryx_persica,1.1,"" -h -q"",4,550.173074995741,0.69485,0.71525,21.0645,22.9408,5.3911,5.8701,37.8514,6.8821"
