"Species","Regularization","Features","nParameters","AICc","Training.AUC","Test.AUC","bio13.contribution","bio14.contribution","bio5.contribution","bio6.contribution","bio7.contribution","topology.contribution"
"Plebejus_afshar",1.4,"autofeature=true",4,192.679975561309,0.86915,0.85935,0.1538,7.2082,22.3914,5.5507,5.3393,59.3566
"Plebejus_alcedo",0.7," -p -h",8,1579.27909612938,0.7802,0.7588,14.4054,14.4204,39.3437,23.56,2.335,5.9356
"Plebejus_christophi",1.4," threshold=false -q",23,1190.22497593258,0.76605,0.7268,9.1955,18.7149,11.5478,26.0898,25.5611,8.8909
"Plebejus_idas",0.5," -h -q",4,397.145276455509,0.7762,0.7174,37.9431,7.927,24.0675,5.1048,2.7406,22.2171
"Plebejus_loewii",0.5," threshold=false -h",16,3578.53394436802,0.7373,0.7043,20.9408,16.5505,19.48,15.0676,14.377,13.584
"Plebejus_morgiana",0.8," threshold=false -h -q",12.5,1948.91692469384,0.79425,0.7614,21.1758,12.0419,19.8251,16.602,8.8073,21.5479
"Plebejus_sieversii",1," -h -q",5,526.809174917173,0.78865,0.7532,35.0021,10.7602,0.0749,19.1976,30.6681,4.2971
"Plebejus_vaneki",1.3," -h",3.5,182.391881528874,0.89725,0.85125,0.4117,2.431,55.8839,0,12.3234,28.9499
"Polygonia_egea",0.5," threshold=false -h",8,964.454374557645,0.8183,0.76015,19.244,37.8639,3.9475,0.7888,13.713,24.4428
"Polyommatus_actis",0.8," threshold=false -p -h",7,1066.3482233812,0.82005,0.7981,3.0312,15.0736,74.0078,0.0603,5.8023,2.0248
"Polyommatus_aedon",1.3," -h",5,391.846354351602,0.8706,0.8514,19.33,11.1218,2.2798,49.3559,10.0775,7.8348
