Names;Design;Priority hotspots;Species richness;Species (min & max);Richness rank;Total coverage of PHs (km2);Protection rank;Potential conservation rank
Kohestan;NHA;1, 0;18;17,19;3;558.78;3;3
kolaheh;NHA;0;20;19,22;3;135;2;3
Lafor;NHA;0, 2;12;9,16;2;219.63;2;2
Lar;NHA;4;0;0,0;4;78.82;2;4
Lashkargah;NHA;-2;4;3,5;1;52.48;1;1
Maharloo;NHA;4;37;32,44;4;17.97;2;4
Maksorkh;NHA;-2;2;0,4;1;1127.4;4;1
Marvar-e meibod;NHA;1, 2;23;18,28;3;754.88;2;3
Mashkol;NHA;0;13;11,14;2;55.56;2;2
Mazaijan;NHA;0;14;10,16;3;832.34;4;3
Mazibon;NHA;0;12;12,13;2;14.79;1;2
Melboland;NHA;4;28;28,29;2;23.52;1;3
Mishodagh;NHA;-1, -2;5;4,5;2;1103.07;4;2
Nav-e Asalem;NHA;0;14;14,14;1;49.18;1;1
Nishak;NHA;2;14;14,14;1;135.42;1;1
Nobahar;NHA;-2;2;0,4;1;905.31;4;1
Nodarhang-e rafsanjan;NHA;0;18;17,20;3;916.67;4;3
Paband;NHA;0, 1;25;14,32;4;266.24;4;4
Padena;NHA;1, 2;18;14,23;3;270.15;3;3
Padenay-e semirom;NHA;4;61;51,70;4;197.15;3;5
Palang Galoon;NHA;3, 2;28;25,32;4;278.9;3;4
Palangab;NHA;0;17;13,22;2;213.72;2;2
Paridar-e abolhasani;NHA;1;23;21,25;3;172.91;2;3
Pol-e dokhtar Wetlands;NHA;0;14;11,16;2;160.22;2;2
Pozem;NHA;0;10;7,11;3;104.23;2;3
Raeesi;NHA;1, 0;0;0,0;4;61.33;2;4
Razan;NHA;4;36;36,36;2;17.48;1;2
Rivand;NHA;0, -1;6;1,9;2;512.58;4;2
Roshan koh;NHA;2;26;24,28;4;283.16;3;4
Sahand;NHA;0, -2, -1;6;3,7;2;1252.91;5;3
Sedeh;NHA;-1, -2;2;1,4;1;655.82;4;1
Seghaleh;NHA;-2;3;2,4;1;230.61;2;1
Sekohak;NHA;-2;2;0,4;1;1405.67;4;1
Sepidkoh;NHA;4, 1;20;5,32;3;402.9;4;3
Setableh;NHA;4;45;40,52;4;70.23;2;5
Seyed morteza;NHA;0;6;4,7;1;285.08;2;2
Shahghandab;NHA;1;24;18,31;4;182.71;4;4
Shahjahan;NHA;0;8;7,10;3;38.09;2;3
Shahr-e babak;NHA;0, 1;20;8,24;2;429.64;2;2
Shahzadeh ebrahim;NHA;0;8;4,16;3;39.76;2;3
Shams abad;NHA;2;44;42,45;3;13.61;1;3
Shirinsou;NHA;0;10;10,10;1;0.43;1;1
Shirkoh-e taft;NHA;2, 1;27;23,29;3;34.31;2;3
Shohaday-e mohitban;NHA;0;8;7,9;2;25.74;2;2
Shorabil;NHA;0;8;8,8;1;2;1;1
Shou va Lander;NHA;0, 2;19;14,32;3;94.25;3;3
Siyahbisheh;NHA;4;30;24,36;2;1.44;1;3
Sofikam;NHA;-1;0;0,0;5;0;3;4
Taghestan-e abarkouh;NHA;0;8;4,13;3;587.97;4;3
Tajarak;NHA;0;12;9,14;2;34.21;1;2
Takhtiran;NHA;1;13;8,19;3;135.9;2;3
Talou va Shirband;NHA;4;23;7,35;4;164.95;2;4
Tapal;NHA;4;29;23,35;2;180.95;1;3
Tarom-e sofla;NHA;1;20;19,21;2;4.72;2;2
Tot siyah;NHA;1;26;26,27;2;108.93;1;2
Vanak;NHA;2;43;40,45;4;63.65;2;4
West Alamout;NHA;0;22;20,25;4;450.75;4;4
Yekanat;NHA;-1, -2;0;0,0;4;174.02;2;3
Zarabad;NHA;-1;2;2,3;1;682.13;4;2
Zarcheshmeh;NHA;2;37;31,46;4;215.31;2;4
Zarin;NHA;0;9;8,10;2;134.41;2;2
Zelehzard;NHA;-1, -2;1;1,1;1;0.1;3;2
Abdolrazagh;PA;0;8;6,9;3;213.92;2;3
Abshar shirgah;PA;0;14;11,16;2;3.46;1;2
Aghdagh;PA;0;16;14,17;3;278.83;2;3
Alaho Akbar;PA;1, 0;6;0,14;2;162.52;3;2
Alamdar pdaghi;PA;-1, -2;3;2,4;2;51.01;3;2
Alamout;PA;0, 2;25;18,38;4;196.3;3;4
Alborz;PA;4, 3;39;8,62;4;2296.77;5;5
Almobolagh;PA;0;15;15,15;1;96.87;1;1
Alvand;PA;0, 2;20;15,26;4;164.54;2;3
Angooran;PA;0;9;7,11;3;823.75;4;3
Arasbaran;PA;0, -2, -1;5;4,5;5;603.54;4;4
Arjan & arishan;PA;4;53;29,67;4;403.03;3;5
Ark & Korong;PA;-2;4;4,5;1;208.23;1;1
Asas;PA;0;13;13,13;1;43.13;1;1
Badr va Parishan;PA;0;12;11,13;3;211.54;3;3
Baghe keshmir;PA;-2;0;0,0;1;119.01;2;1
Bagheran;PA;-2;4;4,4;2;11.24;2;1
Bagh-e-shadi;PA;1;24;24,25;2;74.12;1;2
Bahou;PA;-1, -2, 0;2;0,7;1;4279.04;5;2
Bahr aseman;PA;2;29;26,31;4;855.95;4;4
Bahramgour;PA;1, 0, 2;22;13,25;4;3508.56;5;4
Barm-e firouz;PA;4;82;78,85;3;171.54;1;4
Bashgol;PA;0;0;0,0;4;98.55;2;3
Baz;PA;1, 4;27;20,36;4;153.08;3;4
Beleskouh;PA;3;0;0,0;5;0;2;5
Bidoiyeh;PA;0, 1;20;18,23;3;898.39;4;4
Bijar;PA;0;0;0,0;5;92.7;4;5
Binaloud;PA;2;22;20,25;3;599.48;3;4
Birami;PA;0, -1;4;2,6;1;233.49;2;2
Bisotoun;PA;0;14;12,15;3;158.66;2;3
Boula;PA;0;20;13,23;3;0.48;2;3
Bouzin;PA;0;6;4,7;3;15.46;4;4
Bozghoosh;PA;0;10;7,12;3;115.19;4;3
Chah kocheh;PA;1;18;17,19;3;227.99;4;4
Charbagh;PA;4;54;48,62;4;194.02;2;4
Charoimagh;PA;0;0;0,0;4;748.19;3;4
Chela;PA;0;0;0,0;4;0;1;3
Chelchemeh;PA;0;9;9,10;3;279.57;3;3
Dalankouh;PA;4;36;28,47;4;267.2;4;4
dare bagh;PA;0, 1;22;20,26;3;285.67;2;3
Darmian;PA;-2;3;3,3;2;193.36;2;1
Darouneh;PA;-2;3;2,3;2;61.91;4;1
Dehaj;PA;1;23;21,25;4;681.4;3;4
Dena;PA;4;62;53,70;4;176.32;3;5
Denaye sharghi;PA;4;76;63,92;4;312.46;2;4
Dez;PA;-2, 0;2;1,5;3;175.89;2;2
Dimeh;PA;-2;3;3,3;1;97.62;1;1
Dinar kouh;PA;-2, 0;7;3,12;2;341.34;2;2
Dizmar;PA;0;5;4,6;3;241.87;4;4
Dorbadam;PA;2;14;13,15;4;0.01;3;4
Eftekhari;PA;-2;3;1,4;2;396.73;2;1
Farour;PA;-2;1;1,1;1;20.4;2;1
Garzemi;PA;-2;0;0,0;1;125.68;1;1
Gasht rudkhan;PA;0;14;9,19;3;263.76;2;3
Geno;PA;4;33;27,36;3;430.09;2;4
Ghalajeh;PA;0;8;7,9;3;116.11;3;3
Ghamsar;PA;2;33;32,35;4;158.14;2;4
Gharchagheh;PA;1;12;9,15;4;3.79;3;4
Gheisari;PA;3;46;46,47;3;5.11;1;3
Ghorigol;PA;0;7;7,7;1;5.55;1;1
Ghorkhud;PA;1;0;0,0;4;391.46;2;4
Golar abad;PA;1;22;21,23;2;27.62;1;2
Haft shahidan;PA;0;14;14,14;1;97.9;1;1
Haftad ghole;PA;1, 2;22;19,25;4;810.27;4;4
Haraz;PA;4;0;0,0;5;90.66;2;5
Harra;PA;0;6;3,8;2;675.48;4;3
Harra gabrik & Jask;PA;0;7;7,7;1;265.26;2;2
Harra khoran;PA;0;3;3,3;1;25.56;1;1
Harra rude gaz;PA;0;8;7,10;2;139.71;1;2
Harra tiab & Minab;PA;2, 0;16;13,19;2;458.97;2;3
helali  proected area;PA;-2;4;3,6;2;364.47;4;2
Helen;PA;3, 2;43;40,45;4;229.52;3;4
